"12d2 -- Recidivism by gender, age, group of offences and sanction, 1990-2021",,,,
,,,,
Year,Gender,Age,Principal offence,"Convicted, number"
1990,Total,Total,Total,82235
1990,Total,15 - 17,Total,7503
1990,Total,18 - 20,Total,12111
1990,Total,21 - 24,Total,13354
1990,Total,25 - 29,Total,11668
1990,Total,30 - 39,Total,18601
1990,Total,40 - 49,Total,12511
1990,Total,50 - 59,Total,4522
1990,Total,60 - 69,Total,1549
1990,Total,70 - 79,Total,366
1990,Total,80 -,Total,50
1990,Males,Total,Total,73363
1990,Males,15 - 17,Total,6681
1990,Males,18 - 20,Total,10752
1990,Males,21 - 24,Total,11842
1990,Males,25 - 29,Total,10428
1990,Males,30 - 39,Total,16656
1990,Males,40 - 49,Total,11183
1990,Males,50 - 59,Total,4041
1990,Males,60 - 69,Total,1413
1990,Males,70 - 79,Total,326
1990,Males,80 -,Total,41
1990,Females,Total,Total,8872
1990,Females,15 - 17,Total,822
1990,Females,18 - 20,Total,1359
1990,Females,21 - 24,Total,1512
1990,Females,25 - 29,Total,1240
1990,Females,30 - 39,Total,1945
1990,Females,40 - 49,Total,1328
1990,Females,50 - 59,Total,481
1990,Females,60 - 69,Total,136
1990,Females,70 - 79,Total,40
1990,Females,80 -,Total,9
1990,Unknown,Total,Total,0
1990,Unknown,15 - 17,Total,0
1990,Unknown,18 - 20,Total,0
1990,Unknown,21 - 24,Total,0
1990,Unknown,25 - 29,Total,0
1990,Unknown,30 - 39,Total,0
1990,Unknown,40 - 49,Total,0
1990,Unknown,50 - 59,Total,0
1990,Unknown,60 - 69,Total,0
1990,Unknown,70 - 79,Total,0
1990,Unknown,80 -,Total,0
1991,Total,Total,Total,79889
1991,Total,15 - 17,Total,6561
1991,Total,18 - 20,Total,11259
1991,Total,21 - 24,Total,13110
1991,Total,25 - 29,Total,11961
1991,Total,30 - 39,Total,18245
1991,Total,40 - 49,Total,12396
1991,Total,50 - 59,Total,4518
1991,Total,60 - 69,Total,1476
1991,Total,70 - 79,Total,319
1991,Total,80 -,Total,44
1991,Males,Total,Total,71312
1991,Males,15 - 17,Total,5900
1991,Males,18 - 20,Total,10038
1991,Males,21 - 24,Total,11632
1991,Males,25 - 29,Total,10694
1991,Males,30 - 39,Total,16180
1991,Males,40 - 49,Total,11093
1991,Males,50 - 59,Total,4111
1991,Males,60 - 69,Total,1343
1991,Males,70 - 79,Total,283
1991,Males,80 -,Total,38
1991,Females,Total,Total,8577
1991,Females,15 - 17,Total,661
1991,Females,18 - 20,Total,1221
1991,Females,21 - 24,Total,1478
1991,Females,25 - 29,Total,1267
1991,Females,30 - 39,Total,2065
1991,Females,40 - 49,Total,1303
1991,Females,50 - 59,Total,407
1991,Females,60 - 69,Total,133
1991,Females,70 - 79,Total,36
1991,Females,80 -,Total,6
1991,Unknown,Total,Total,0
1991,Unknown,15 - 17,Total,0
1991,Unknown,18 - 20,Total,0
1991,Unknown,21 - 24,Total,0
1991,Unknown,25 - 29,Total,0
1991,Unknown,30 - 39,Total,0
1991,Unknown,40 - 49,Total,0
1991,Unknown,50 - 59,Total,0
1991,Unknown,60 - 69,Total,0
1991,Unknown,70 - 79,Total,0
1991,Unknown,80 -,Total,0
1992,Total,Total,Total,74980
1992,Total,15 - 17,Total,6071
1992,Total,18 - 20,Total,10009
1992,Total,21 - 24,Total,11973
1992,Total,25 - 29,Total,11396
1992,Total,30 - 39,Total,17285
1992,Total,40 - 49,Total,12277
1992,Total,50 - 59,Total,4271
1992,Total,60 - 69,Total,1396
1992,Total,70 - 79,Total,276
1992,Total,80 -,Total,26
1992,Males,Total,Total,67185
1992,Males,15 - 17,Total,5532
1992,Males,18 - 20,Total,8959
1992,Males,21 - 24,Total,10717
1992,Males,25 - 29,Total,10151
1992,Males,30 - 39,Total,15385
1992,Males,40 - 49,Total,11022
1992,Males,50 - 59,Total,3877
1992,Males,60 - 69,Total,1272
1992,Males,70 - 79,Total,248
1992,Males,80 -,Total,22
1992,Females,Total,Total,7795
1992,Females,15 - 17,Total,539
1992,Females,18 - 20,Total,1050
1992,Females,21 - 24,Total,1256
1992,Females,25 - 29,Total,1245
1992,Females,30 - 39,Total,1900
1992,Females,40 - 49,Total,1255
1992,Females,50 - 59,Total,394
1992,Females,60 - 69,Total,124
1992,Females,70 - 79,Total,28
1992,Females,80 -,Total,4
1992,Unknown,Total,Total,0
1992,Unknown,15 - 17,Total,0
1992,Unknown,18 - 20,Total,0
1992,Unknown,21 - 24,Total,0
1992,Unknown,25 - 29,Total,0
1992,Unknown,30 - 39,Total,0
1992,Unknown,40 - 49,Total,0
1992,Unknown,50 - 59,Total,0
1992,Unknown,60 - 69,Total,0
1992,Unknown,70 - 79,Total,0
1992,Unknown,80 -,Total,0
1993,Total,Total,Total,65792
1993,Total,15 - 17,Total,5295
1993,Total,18 - 20,Total,8784
1993,Total,21 - 24,Total,9665
1993,Total,25 - 29,Total,10187
1993,Total,30 - 39,Total,15167
1993,Total,40 - 49,Total,11286
1993,Total,50 - 59,Total,3815
1993,Total,60 - 69,Total,1324
1993,Total,70 - 79,Total,230
1993,Total,80 -,Total,39
1993,Males,Total,Total,58780
1993,Males,15 - 17,Total,4799
1993,Males,18 - 20,Total,7916
1993,Males,21 - 24,Total,8613
1993,Males,25 - 29,Total,9018
1993,Males,30 - 39,Total,13422
1993,Males,40 - 49,Total,10100
1993,Males,50 - 59,Total,3439
1993,Males,60 - 69,Total,1233
1993,Males,70 - 79,Total,203
1993,Males,80 -,Total,37
1993,Females,Total,Total,7012
1993,Females,15 - 17,Total,496
1993,Females,18 - 20,Total,868
1993,Females,21 - 24,Total,1052
1993,Females,25 - 29,Total,1169
1993,Females,30 - 39,Total,1745
1993,Females,40 - 49,Total,1186
1993,Females,50 - 59,Total,376
1993,Females,60 - 69,Total,91
1993,Females,70 - 79,Total,27
1993,Females,80 -,Total,2
1993,Unknown,Total,Total,0
1993,Unknown,15 - 17,Total,0
1993,Unknown,18 - 20,Total,0
1993,Unknown,21 - 24,Total,0
1993,Unknown,25 - 29,Total,0
1993,Unknown,30 - 39,Total,0
1993,Unknown,40 - 49,Total,0
1993,Unknown,50 - 59,Total,0
1993,Unknown,60 - 69,Total,0
1993,Unknown,70 - 79,Total,0
1993,Unknown,80 -,Total,0
1994,Total,Total,Total,61268
1994,Total,15 - 17,Total,4548
1994,Total,18 - 20,Total,8093
1994,Total,21 - 24,Total,8616
1994,Total,25 - 29,Total,9361
1994,Total,30 - 39,Total,14126
1994,Total,40 - 49,Total,10905
1994,Total,50 - 59,Total,3981
1994,Total,60 - 69,Total,1347
1994,Total,70 - 79,Total,260
1994,Total,80 -,Total,31
1994,Males,Total,Total,54524
1994,Males,15 - 17,Total,4115
1994,Males,18 - 20,Total,7347
1994,Males,21 - 24,Total,7711
1994,Males,25 - 29,Total,8230
1994,Males,30 - 39,Total,12479
1994,Males,40 - 49,Total,9591
1994,Males,50 - 59,Total,3572
1994,Males,60 - 69,Total,1221
1994,Males,70 - 79,Total,231
1994,Males,80 -,Total,27
1994,Females,Total,Total,6744
1994,Females,15 - 17,Total,433
1994,Females,18 - 20,Total,746
1994,Females,21 - 24,Total,905
1994,Females,25 - 29,Total,1131
1994,Females,30 - 39,Total,1647
1994,Females,40 - 49,Total,1314
1994,Females,50 - 59,Total,409
1994,Females,60 - 69,Total,126
1994,Females,70 - 79,Total,29
1994,Females,80 -,Total,4
1994,Unknown,Total,Total,0
1994,Unknown,15 - 17,Total,0
1994,Unknown,18 - 20,Total,0
1994,Unknown,21 - 24,Total,0
1994,Unknown,25 - 29,Total,0
1994,Unknown,30 - 39,Total,0
1994,Unknown,40 - 49,Total,0
