"Decisions by type of decision, type of offence, sex, age and time"

" "," "," "," ","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Total"
" ","Criminal code, total"
" "," ","Men"
" "," "," ","15 years",1022,1055,1085,974,1046,992,925,947,906,962,887,847,848,874,936,898,833,775,881,831,993,988,943,1040,1195,1321,1271,1035,885,800,783,942,685,616,589,514,523,460,433,605,626,587
" "," "," ","16 years",2101,1997,2009,2070,1896,1839,1812,1734,1877,1700,1705,1629,1677,1574,1709,1849,1663,1594,1540,1459,1786,1781,1807,1805,2265,2221,2299,2016,1656,1752,1716,1437,1403,1291,1230,1121,1079,942,946,1062,1096,1056
" "," "," ","17 years",2002,2332,2104,2383,2471,2230,2063,2143,2153,2058,2073,1936,1990,2016,2025,2124,2026,1955,1813,1716,1947,2064,1910,2136,2326,2509,2341,2024,2051,2119,2184,1918,1821,1702,1559,1343,1328,1254,1169,1258,1286,1112
" "," "," ","18 years",2107,2339,2290,2505,2688,2774,2465,2369,2437,2345,2263,2217,2182,2336,2421,2263,2263,2169,2072,1845,1957,2072,2047,2262,2311,2388,2423,2055,2113,2337,2362,2167,2061,1799,1608,1509,1481,1324,1363,1398,1307,1184
" "," "," ","19 years",2131,2253,2250,2583,2727,2848,2782,2579,2511,2464,2415,2262,2340,2462,2543,2344,2205,2054,2111,1992,1963,2135,2041,2210,2264,2339,2229,1979,1988,2365,2465,2336,2259,2008,1804,1710,1579,1441,1306,1429,1444,1249
" "," "," ","20 years",1886,2055,2010,2191,2469,2440,2578,2602,2493,2218,2223,2248,2232,2299,2450,2287,2132,2040,1983,1960,1847,1955,1880,2106,2080,2172,1960,1763,1911,2087,2349,2213,2186,2021,1761,1618,1561,1412,1327,1477,1433,1294
" "," "," ","21 years",1655,1787,1780,1970,2066,2156,2288,2531,2317,2200,2072,1955,2042,2243,2288,2218,2065,1942,1812,1822,1814,1762,1798,1825,1819,1926,1666,1537,1580,1907,2149,2089,2019,1909,1697,1540,1467,1354,1318,1435,1214,1263
