"Population 1. January by marital status, sex, age and time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,0 years,59233,57166,52980,52642,50844,51801,53831,55385,56190,58797,61232,63428,64323,67651,67359,69705,70105,67791,67642,66205,66302,67090,65470,64169,65055,64735,64511,65206,64412,65304,63178,63739
 , ,1 year,62164,59450,57294,53131,52815,50975,52050,54206,55704,56384,58954,61415,63729,64656,68005,67714,70422,70575,68130,67983,66603,66726,67562,65867,64549,65092,65055,64765,65722,64890,65977,63665
 , ,2 years,62159,62205,59452,57372,53130,52849,51137,52306,54399,55709,56472,59147,61711,63953,64904,68277,68191,70775,70834,68326,68155,66814,66912,67722,65885,64607,65155,65080,64993,66062,65205,66235
 , ,3 years,65604,62166,62193,59427,57417,53151,53030,51364,52479,54487,55840,56652,59380,61912,64122,65063,68804,68533,71000,71008,68457,68310,67038,67053,67797,65867,64655,65188,65216,65251,66248,65406
 , ,4 years,72140,65637,62097,62161,59383,57409,53295,53237,51512,52578,54579,56030,56886,59552,62104,64334,65681,69127,68686,71163,71076,68649,68525,67245,67091,67755,65776,64644,65263,65425,65459,66450
 , ,5 years,71151,72192,65506,62051,62112,59419,57499,53479,53407,51589,52675,54712,56245,57048,59752,62336,64893,65987,69281,68855,71262,71207,68876,68706,67283,67060,67673,65750,64711,65439,65546,65532
 , ,6 years,71540,71213,72107,65471,62062,62139,59537,57664,53688,53469,51732,52842,54919,56446,57211,59968,62894,65250,66139,69433,68914,71455,71461,69082,68785,67286,66974,67641,65825,64839,65534,65647
 , ,7 years,75067,71532,71155,72049,65458,62085,62215,59648,57805,53744,53561,51857,53081,55173,56632,57341,60500,63200,65440,66254,69492,69129,71685,71604,69165,68791,67237,66909,67681,65950,64941,65583
 , ,8 years,74814,75063,71460,71071,71972,65460,62143,62373,59805,57830,53865,53688,52033,53205,55290,56785,57913,60847,63407,65667,66361,69673,69313,71864,71700,69223,68738,67187,66939,67766,65976,65039
 , ,9 years,70778,74833,74998,71414,71063,72030,65537,62251,62524,59836,57963,54033,53886,52215,53350,55463,57290,58229,61050,63582,65775,66594,69918,69486,71947,71702,69193,68729,67283,67081,67877,66066
 , ,10 years,70993,70822,74819,74989,71400,71102,72100,65667,62395,62618,59921,58132,54216,54088,52341,53524,55998,57653,58400,61241,63747,66000,66839,70066,69609,72001,71665,69184,68827,67422,67216,67954
 , ,11 years,73844,71005,70827,74797,75024,71446,71148,72201,65795,62441,62698,60089,58357,54404,54221,52486,54087,56301,57811,58580,61410,63967,66295,67064,70186,69695,71992,71694,69292,68983,67534,67323
 , ,12 years,80511,73913,71011,70814,74824,75058,71532,71292,72356,65868,62549,62827,60265,58565,54565,54366,52970,54358,56437,58017,58680,61618,64262,66556,67199,70236,69705,72090,71777,69410,69069,67624
 , ,13 years,87098,80519,73905,71006,70850,74866,75134,71626,71439,72435,65975,62710,63010,60454,58750,54658,54809,53241,54494,56626,58134,58910,61891,64483,66703,67297,70268,69753,72141,71922,69514,69181
 , ,14 years,84335,87154,80510,73908,71021,70925,74942,75255,71786,71519,72541,66068,62904,63241,60644,58896,55123,55080,53437,54703,56780,58371,59156,62079,64624,66799,67282,70333,69835,72342,72044,69643
 , ,15 years,82114,84428,87253,80577,73967,71115,71062,75109,75463,71950,71760,72774,66316,63158,63449,60842,59381,55422,55325,53693,54857,57039,58695,59400,62290,64810,66934,67397,70522,70083,72546,72310
 , ,16 years,81265,82317,84493,87333,80743,74189,71410,71374,75402,75693,72139,71982,72992,66604,63371,63674,61332,59661,55628,55612,53909,55092,57368,58961,59663,62451,64930,67088,67595,70993,70482,73020
 , ,17 years,76616,81289,82329,84496,87411,80859,74424,71753,71565,75430,75748,72311,72171,73199,66806,63598,64133,61763,60017,56028,56001,54377,55660,57896,59431,60082,62823,65272,67450,68043,71164,70615
